H.alpha H.beta S.II.6718 S.II.6733 H.gamma O.II O.III.5008 O.III.4960 N.II.6585 N.II.6550
3.17071 1.88833 1.47043 1.06941 0.94077 2.18737 0.142458 -0.578308 2.10223 1.35401
3.03547 1.78534 1.22208 0.988688 1.19624 2.14542 0.347631 -0.50931 2.02209 0.720509
3.07747 1.8995 1.29859 0.869387 0.631272 2.64106 1.20105 0.128528 1.94069 1.22951
3.28749 2.06746 1.64111 1.33064 0.836368 2.76575 1.35915 -0.00895877 1.95188 1.3845
4.31178 2.78641 2.6586 2.23721 1.7833 3.79864 2.74166 1.57235 3.03756 1.86472
3.01089 1.763 0.926995 0.156303 0.824567 1.67306 0.0542902 -1.25779 1.8248 0.707397
2.51422 1.43655 0.940607 0.397445 0.483228 2.27287 0.156771 -1.25444 1.38153 -0.00874902
3.61622 2.18528 1.59176 1.39266 1.44709 2.45138 0.677684 -0.488925 2.40638 1.21839
3.71708 2.37822 2.10143 1.69768 1.51477 2.76366 0.845227 -0.946702 2.56639 1.43424
3.21689 1.81026 1.21221 0.785728 0.951571 1.70162 0.341164 -0.894935 2.20011 0.889316
3.33841 2.11987 1.53881 1.28514 1.35977 2.75363 1.0584 -0.220839 2.13129 0.924861
2.96662 1.76261 1.64382 1.09198 1.21503 2.43485 0.585109 -1.09923 1.99541 0.751626
3.08283 1.74822 1.7419 0.873253 0.618372 2.12021 0.333853 -0.651874 1.7701 0.653287
3.50085 2.15093 1.77396 1.59572 1.08752 3.14705 1.33311 0.0442743 2.15662 1.02312
4.03261 2.44966 2.16697 1.77958 1.41582 3.14569 1.85551 0.339557 2.94291 1.75003
4.05781 2.71767 2.27935 1.92897 1.63841 3.01678 2.44035 1.27897 3.33744 2.22958
3.05475 1.51606 0.841452 0.504532 0.719673 1.78246 0.088615 -2.04989 1.97123 0.627805
3.84724 2.46021 2.10875 1.81964 1.56923 3.05811 1.51898 0.435482 2.60775 1.49957
3.80895 2.48542 2.0024 1.53304 1.663 2.57922 1.12951 -0.0730822 2.70518 1.63559
2.00614 1.57686 0.627853 -0.560742 0.453019 2.0349 0.321741 -1.01997 1.25725 -0.137452
3.58742 2.22271 1.46775 1.21003 1.19212 1.96792 0.55814 -0.625524 2.74798 1.60846
3.67851 2.30382 1.94981 1.45042 1.54643 2.45203 0.574357 0.0996291 2.45516 1.33898
1.48646 0.68438 -0.131576 -0.304278 -0.121704 1.78511 0.14322 -0.744094 0.417907 0.361822
3.06438 1.72802 1.39304 0.806805 1.20255 2.01748 0.29708 -1.35084 1.80868 0.585752
4.53254 2.96735 2.9676 2.77471 1.97002 4.05133 3.37546 2.28704 3.13304 2.61366
3.65136 2.33049 1.62506 1.43674 1.61887 2.45353 0.605856 -0.468497 2.50507 1.25085
4.244 2.90984 2.57047 2.28818 2.00717 3.95324 4.17497 3.00454 3.23272 2.13482
0.826561 0.385409 0.301952 -0.314244 -1.00942 1.65903 -0.0151605 -1.5171 0.772516 -0.125359
3.09979 1.94473 1.49854 0.828063 1.31924 2.557 0.690388 -0.0747508 1.9525 0.525853
